sku,week,units
21915,2011-01-03,285
21915,2011-01-10,72
21915,2011-01-17,116
21915,2011-01-24,84
21915,2011-01-31,556
21915,2011-02-07,25
21915,2011-02-14,39
21915,2011-02-21,125
21915,2011-02-28,604
21915,2011-03-07,319
21915,2011-03-14,192
21915,2011-03-21,120
21915,2011-03-28,742
21915,2011-04-04,107
21915,2011-04-11,96
21915,2011-04-18,125
21915,2011-04-25,364
21915,2011-05-02,152
21915,2011-05-09,160
21915,2011-05-16,312
21915,2011-05-23,85
21915,2011-05-30,305
21915,2011-06-06,84
21915,2011-06-13,434
21915,2011-06-20,338
21915,2011-06-27,126
21915,2011-07-04,85
21915,2011-07-11,175
21915,2011-07-18,231
21915,2011-07-25,186
21915,2011-08-01,381
21915,2011-08-08,857
21915,2011-08-15,336
21915,2011-08-22,366
21915,2011-08-29,1621
21915,2011-09-05,262
21915,2011-09-12,307
21915,2011-09-19,545
21915,2011-09-26,312
21915,2011-10-03,1831
21915,2011-10-10,252
21915,2011-10-17,830
21915,2011-10-24,351
21915,2011-10-31,2652
21915,2011-11-07,661
21915,2011-11-14,551
21915,2011-11-21,22
21915,2011-11-28,1120
21915,2011-12-05,2
21977,2010-11-29,409
21977,2010-12-06,232
21977,2010-12-13,549
21977,2010-12-20,534
21977,2010-12-27,0
21977,2011-01-03,179
21977,2011-01-10,107
21977,2011-01-17,154
21977,2011-01-24,144
21977,2011-01-31,811
21977,2011-02-07,75
21977,2011-02-14,464
21977,2011-02-21,239
21977,2011-02-28,276
21977,2011-03-07,684
21977,2011-03-14,1127
21977,2011-03-21,408
21977,2011-03-28,386
21977,2011-04-04,159
21977,2011-04-11,751
21977,2011-04-18,1321
21977,2011-04-25,255
21977,2011-05-02,555
21977,2011-05-09,498
21977,2011-05-16,173
21977,2011-05-23,2825
21977,2011-05-30,20
21977,2011-06-06,337
21977,2011-06-13,471
21977,2011-06-20,545
21977,2011-06-27,160
21977,2011-07-04,117
21977,2011-07-11,191
21977,2011-07-18,1331
21977,2011-07-25,742
21977,2011-08-01,271
21977,2011-08-08,248
21977,2011-08-15,879
21977,2011-08-22,876
21977,2011-08-29,205
21977,2011-09-05,664
21977,2011-09-12,790
21977,2011-09-19,402
21977,2011-09-26,213
21977,2011-10-03,877
21977,2011-10-10,270
21977,2011-10-17,118
21977,2011-10-24,98
21977,2011-10-31,158
21977,2011-11-07,303
21977,2011-11-14,415
21977,2011-11-21,392
21977,2011-11-28,239
21977,2011-12-05,207
22086,2010-11-29,683
22086,2010-12-06,1055
22086,2010-12-13,597
22086,2010-12-20,125
22086,2010-12-27,0
22086,2011-01-03,16
22086,2011-01-10,6
22086,2011-01-17,2
22086,2011-01-24,0
22086,2011-01-31,0
22086,2011-02-07,0
22086,2011-02-14,2
22086,2011-02-21,2
22086,2011-02-28,45
22086,2011-03-07,1
22086,2011-03-14,0
22086,2011-03-21,42
22086,2011-03-28,3
22086,2011-04-04,9
22086,2011-04-11,0
22086,2011-04-18,1
22086,2011-04-25,0
22086,2011-05-02,4
22086,2011-05-09,13
22086,2011-05-16,0
22086,2011-05-23,0
22086,2011-05-30,0
22086,2011-06-06,2
22086,2011-06-13,1
22086,2011-06-20,6
22086,2011-06-27,365
22086,2011-07-04,18
22086,2011-07-11,16
22086,2011-07-18,32
22086,2011-07-25,287
22086,2011-08-01,281
22086,2011-08-08,22
22086,2011-08-15,36
22086,2011-08-22,28
22086,2011-08-29,192
22086,2011-09-05,495
22086,2011-09-12,601
22086,2011-09-19,602
22086,2011-09-26,359
22086,2011-10-03,977
22086,2011-10-10,819
22086,2011-10-17,756
22086,2011-10-24,764
22086,2011-10-31,1745
22086,2011-11-07,1436
22086,2011-11-14,2161
22086,2011-11-21,1692
22086,2011-11-28,1564
22086,2011-12-05,1492
22178,2010-11-29,107
22178,2010-12-06,525
22178,2010-12-13,593
22178,2010-12-20,130
22178,2010-12-27,0
22178,2011-01-03,396
22178,2011-01-10,204
22178,2011-01-17,339
22178,2011-01-24,333
22178,2011-01-31,482
22178,2011-02-07,242
22178,2011-02-14,133
22178,2011-02-21,510
22178,2011-02-28,406
22178,2011-03-07,290
22178,2011-03-14,654
22178,2011-03-21,526
22178,2011-03-28,952
22178,2011-04-04,493
22178,2011-04-11,626
22178,2011-04-18,645
22178,2011-04-25,95
22178,2011-05-02,600
22178,2011-05-09,596
22178,2011-05-16,763
22178,2011-05-23,608
22178,2011-05-30,739
22178,2011-06-06,543
22178,2011-06-13,276
22178,2011-06-20,122
22178,2011-06-27,349
22178,2011-07-04,590
22178,2011-07-11,154
22178,2011-07-18,532
22178,2011-07-25,236
22178,2011-08-01,824
22178,2011-08-08,308
22178,2011-08-15,318
22178,2011-08-22,456
22178,2011-08-29,493
22178,2011-09-05,230
22178,2011-09-12,248
22178,2011-09-19,425
22178,2011-09-26,90
22178,2011-10-03,1483
22178,2011-10-10,303
22178,2011-10-17,211
22178,2011-10-24,1246
22178,2011-10-31,359
22178,2011-11-07,288
22178,2011-11-14,449
22178,2011-11-21,373
22178,2011-11-28,755
22178,2011-12-05,656
22197,2010-11-29,493
22197,2010-12-06,1012
22197,2010-12-13,981
22197,2010-12-20,252
22197,2010-12-27,0
22197,2011-01-03,807
22197,2011-01-10,344
22197,2011-01-17,261
22197,2011-01-24,351
22197,2011-01-31,107
22197,2011-02-07,239
22197,2011-02-14,1040
22197,2011-02-21,1312
22197,2011-02-28,370
22197,2011-03-07,779
22197,2011-03-14,583
22197,2011-03-21,237
22197,2011-03-28,1042
22197,2011-04-04,564
22197,2011-04-11,784
22197,2011-04-18,232
22197,2011-04-25,310
22197,2011-05-02,372
22197,2011-05-09,381
22197,2011-05-16,1300
22197,2011-05-23,4562
22197,2011-05-30,533
22197,2011-06-06,410
22197,2011-06-13,437
22197,2011-06-20,345
22197,2011-06-27,430
22197,2011-07-04,636
22197,2011-07-11,157
22197,2011-07-18,621
22197,2011-07-25,436
22197,2011-08-01,2178
22197,2011-08-08,1735
22197,2011-08-15,518
22197,2011-08-22,826
22197,2011-08-29,956
22197,2011-09-05,516
22197,2011-09-12,570
22197,2011-09-19,682
22197,2011-09-26,1675
22197,2011-10-03,835
22197,2011-10-10,884
22197,2011-10-17,1164
22197,2011-10-24,2775
22197,2011-10-31,1156
22197,2011-11-07,3900
22197,2011-11-14,3145
22197,2011-11-21,2955
22197,2011-11-28,3275
22197,2011-12-05,4456
22355,2010-11-29,307
22355,2010-12-06,645
22355,2010-12-13,462
22355,2010-12-20,567
22355,2010-12-27,0
22355,2011-01-03,173
22355,2011-01-10,463
22355,2011-01-17,191
22355,2011-01-24,457
22355,2011-01-31,148
22355,2011-02-07,212
22355,2011-02-14,370
22355,2011-02-21,480
22355,2011-02-28,68
22355,2011-03-07,418
22355,2011-03-14,334
22355,2011-03-21,344
22355,2011-03-28,534
22355,2011-04-04,184
22355,2011-04-11,227
22355,2011-04-18,279
22355,2011-04-25,179
22355,2011-05-02,173
22355,2011-05-09,578
22355,2011-05-16,247
22355,2011-05-23,354
22355,2011-05-30,152
22355,2011-06-06,243
22355,2011-06-13,405
22355,2011-06-20,161
22355,2011-06-27,316
22355,2011-07-04,247
22355,2011-07-11,194
22355,2011-07-18,280
22355,2011-07-25,287
22355,2011-08-01,229
22355,2011-08-08,550
22355,2011-08-15,183
22355,2011-08-22,432
22355,2011-08-29,261
22355,2011-09-05,230
22355,2011-09-12,421
22355,2011-09-19,207
22355,2011-09-26,170
22355,2011-10-03,364
22355,2011-10-10,281
22355,2011-10-17,316
22355,2011-10-24,535
22355,2011-10-31,274
22355,2011-11-07,470
22355,2011-11-14,441
22355,2011-11-21,671
22355,2011-11-28,712
22355,2011-12-05,727
22386,2010-11-29,108
22386,2010-12-06,270
22386,2010-12-13,107
22386,2010-12-20,9
22386,2010-12-27,0
22386,2011-01-03,543
22386,2011-01-10,323
22386,2011-01-17,73
22386,2011-01-24,199
22386,2011-01-31,225
22386,2011-02-07,95
22386,2011-02-14,409
22386,2011-02-21,260
22386,2011-02-28,174
22386,2011-03-07,374
22386,2011-03-14,1083
22386,2011-03-21,586
22386,2011-03-28,675
22386,2011-04-04,125
22386,2011-04-11,119
22386,2011-04-18,155
22386,2011-04-25,282
22386,2011-05-02,154
22386,2011-05-09,401
22386,2011-05-16,179
22386,2011-05-23,560
22386,2011-05-30,410
22386,2011-06-06,478
22386,2011-06-13,243
22386,2011-06-20,611
22386,2011-06-27,456
22386,2011-07-04,454
22386,2011-07-11,315
22386,2011-07-18,307
22386,2011-07-25,403
22386,2011-08-01,382
22386,2011-08-08,551
22386,2011-08-15,586
22386,2011-08-22,619
22386,2011-08-29,248
22386,2011-09-05,657
22386,2011-09-12,478
22386,2011-09-19,809
22386,2011-09-26,665
22386,2011-10-03,1649
22386,2011-10-10,437
22386,2011-10-17,334
22386,2011-10-24,743
22386,2011-10-31,313
22386,2011-11-07,516
22386,2011-11-14,522
22386,2011-11-21,253
22386,2011-11-28,436
22386,2011-12-05,102
22469,2010-11-29,322
22469,2010-12-06,869
22469,2010-12-13,404
22469,2010-12-20,204
22469,2010-12-27,0
22469,2011-01-03,366
22469,2011-01-10,1574
22469,2011-01-17,405
22469,2011-01-24,555
22469,2011-01-31,368
22469,2011-02-07,206
22469,2011-02-14,239
22469,2011-02-21,454
22469,2011-02-28,220
22469,2011-03-07,708
22469,2011-03-14,8
22469,2011-03-21,0
22469,2011-03-28,68
22469,2011-04-04,12
22469,2011-04-11,0
22469,2011-04-18,30
22469,2011-04-25,0
22469,2011-05-02,0
22469,2011-05-09,0
22469,2011-05-16,783
22469,2011-05-23,1205
22469,2011-05-30,421
22469,2011-06-06,366
22469,2011-06-13,261
22469,2011-06-20,154
22469,2011-06-27,236
22469,2011-07-04,336
22469,2011-07-11,317
22469,2011-07-18,302
22469,2011-07-25,125
22469,2011-08-01,199
22469,2011-08-08,149
22469,2011-08-15,78
22469,2011-08-22,117
22469,2011-08-29,130
22469,2011-09-05,237
22469,2011-09-12,359
22469,2011-09-19,1055
22469,2011-09-26,226
22469,2011-10-03,255
22469,2011-10-10,100
22469,2011-10-17,336
22469,2011-10-24,383
22469,2011-10-31,1042
22469,2011-11-07,305
22469,2011-11-14,361
22469,2011-11-21,213
22469,2011-11-28,809
22469,2011-12-05,99
22492,2010-11-29,470
22492,2010-12-06,1832
22492,2010-12-13,227
22492,2010-12-20,181
22492,2010-12-27,0
22492,2011-01-03,648
22492,2011-01-10,219
22492,2011-01-17,38
22492,2011-01-24,793
22492,2011-01-31,541
22492,2011-02-07,216
22492,2011-02-14,108
22492,2011-02-21,180
22492,2011-02-28,108
22492,2011-03-07,1261
22492,2011-03-14,792
22492,2011-03-21,252
22492,2011-03-28,427
22492,2011-04-04,324
22492,2011-04-11,216
22492,2011-04-18,800
22492,2011-04-25,180
22492,2011-05-02,216
22492,2011-05-09,795
22492,2011-05-16,469
22492,2011-05-23,288
22492,2011-05-30,108
22492,2011-06-06,361
22492,2011-06-13,761
22492,2011-06-20,219
22492,2011-06-27,72
22492,2011-07-04,432
22492,2011-07-11,794
22492,2011-07-18,396
22492,2011-07-25,252
22492,2011-08-01,291
22492,2011-08-08,180
22492,2011-08-15,792
22492,2011-08-22,324
22492,2011-08-29,1336
22492,2011-09-05,192
22492,2011-09-12,937
22492,2011-09-19,334
22492,2011-09-26,576
22492,2011-10-03,760
22492,2011-10-10,257
22492,2011-10-17,1334
22492,2011-10-24,792
22492,2011-10-31,226
22492,2011-11-07,1724
22492,2011-11-14,679
22492,2011-11-21,402
22492,2011-11-28,301
22492,2011-12-05,220
22616,2010-11-29,729
22616,2010-12-06,319
22616,2010-12-13,223
22616,2010-12-20,1423
22616,2010-12-27,0
22616,2011-01-03,110
22616,2011-01-10,101
22616,2011-01-17,85
22616,2011-01-24,169
22616,2011-01-31,968
22616,2011-02-07,611
22616,2011-02-14,1014
22616,2011-02-21,118
22616,2011-02-28,122
22616,2011-03-07,1420
22616,2011-03-14,1456
22616,2011-03-21,134
22616,2011-03-28,1432
22616,2011-04-04,610
22616,2011-04-11,402
22616,2011-04-18,93
22616,2011-04-25,216
22616,2011-05-02,128
22616,2011-05-09,130
22616,2011-05-16,1120
22616,2011-05-23,84
22616,2011-05-30,80
22616,2011-06-06,46
22616,2011-06-13,1512
22616,2011-06-20,280
22616,2011-06-27,537
22616,2011-07-04,279
22616,2011-07-11,78
22616,2011-07-18,936
22616,2011-07-25,172
22616,2011-08-01,1715
22616,2011-08-08,138
22616,2011-08-15,149
22616,2011-08-22,413
22616,2011-08-29,485
22616,2011-09-05,76
22616,2011-09-12,200
22616,2011-09-19,291
22616,2011-09-26,577
22616,2011-10-03,525
22616,2011-10-10,65
22616,2011-10-17,666
22616,2011-10-24,293
22616,2011-10-31,702
22616,2011-11-07,254
22616,2011-11-14,1351
22616,2011-11-21,101
22616,2011-11-28,636
22616,2011-12-05,565
23084,2010-11-29,0
23084,2010-12-06,0
23084,2010-12-13,0
23084,2010-12-20,0
23084,2010-12-27,0
23084,2011-01-03,0
23084,2011-01-10,0
23084,2011-01-17,0
23084,2011-01-24,0
23084,2011-01-31,0
23084,2011-02-07,0
23084,2011-02-14,0
23084,2011-02-21,0
23084,2011-02-28,0
23084,2011-03-07,0
23084,2011-03-14,0
23084,2011-03-21,0
23084,2011-03-28,0
23084,2011-04-04,0
23084,2011-04-11,0
23084,2011-04-18,0
23084,2011-04-25,0
23084,2011-05-02,0
23084,2011-05-09,344
23084,2011-05-16,256
23084,2011-05-23,454
23084,2011-05-30,135
23084,2011-06-06,199
23084,2011-06-13,642
23084,2011-06-20,651
23084,2011-06-27,174
23084,2011-07-04,140
23084,2011-07-11,128
23084,2011-07-18,2
23084,2011-07-25,13
23084,2011-08-01,6
23084,2011-08-08,10
23084,2011-08-15,1
23084,2011-08-22,768
23084,2011-08-29,1161
23084,2011-09-05,10
23084,2011-09-12,21
23084,2011-09-19,145
23084,2011-09-26,58
23084,2011-10-03,373
23084,2011-10-10,3
23084,2011-10-17,14
23084,2011-10-24,5593
23084,2011-10-31,2672
23084,2011-11-07,2646
23084,2011-11-14,4279
23084,2011-11-21,2343
23084,2011-11-28,4460
23084,2011-12-05,3205
23166,2010-11-29,0
23166,2010-12-06,0
23166,2010-12-13,0
23166,2010-12-20,0
23166,2010-12-27,0
23166,2011-01-03,0
23166,2011-01-10,0
23166,2011-01-17,74215
23166,2011-01-24,0
23166,2011-01-31,0
23166,2011-02-07,0
23166,2011-02-14,0
23166,2011-02-21,0
23166,2011-02-28,0
23166,2011-03-07,0
23166,2011-03-14,0
23166,2011-03-21,0
23166,2011-03-28,0
23166,2011-04-04,0
23166,2011-04-11,0
23166,2011-04-18,0
23166,2011-04-25,0
23166,2011-05-02,0
23166,2011-05-09,192
23166,2011-05-16,393
23166,2011-05-23,215
23166,2011-05-30,67
23166,2011-06-06,145
23166,2011-06-13,125
23166,2011-06-20,54
23166,2011-06-27,7
23166,2011-07-04,82
23166,2011-07-11,94
23166,2011-07-18,193
23166,2011-07-25,362
23166,2011-08-01,128
23166,2011-08-08,59
23166,2011-08-15,141
23166,2011-08-22,82
23166,2011-08-29,24
23166,2011-09-05,129
23166,2011-09-12,39
23166,2011-09-19,92
23166,2011-09-26,79
23166,2011-10-03,42
23166,2011-10-10,82
23166,2011-10-17,57
23166,2011-10-24,63
23166,2011-10-31,33
23166,2011-11-07,85
23166,2011-11-14,36
23166,2011-11-21,422
23166,2011-11-28,119
23166,2011-12-05,177
23203,2010-11-29,0
23203,2010-12-06,0
23203,2010-12-13,0
23203,2010-12-20,0
23203,2010-12-27,0
23203,2011-01-03,0
23203,2011-01-10,0
23203,2011-01-17,0
23203,2011-01-24,0
23203,2011-01-31,0
23203,2011-02-07,0
23203,2011-02-14,0
23203,2011-02-21,0
23203,2011-02-28,0
23203,2011-03-07,0
23203,2011-03-14,0
23203,2011-03-21,0
23203,2011-03-28,0
23203,2011-04-04,0
23203,2011-04-11,0
23203,2011-04-18,0
23203,2011-04-25,0
23203,2011-05-02,220
23203,2011-05-09,908
23203,2011-05-16,1047
23203,2011-05-23,347
23203,2011-05-30,467
23203,2011-06-06,244
23203,2011-06-13,780
23203,2011-06-20,304
23203,2011-06-27,258
23203,2011-07-04,375
23203,2011-07-11,441
23203,2011-07-18,773
23203,2011-07-25,593
23203,2011-08-01,1211
23203,2011-08-08,1308
23203,2011-08-15,726
23203,2011-08-22,611
23203,2011-08-29,460
23203,2011-09-05,523
23203,2011-09-12,695
23203,2011-09-19,774
23203,2011-09-26,570
23203,2011-10-03,1041
23203,2011-10-10,424
23203,2011-10-17,219
23203,2011-10-24,556
23203,2011-10-31,495
23203,2011-11-07,1714
23203,2011-11-14,1122
23203,2011-11-21,530
23203,2011-11-28,336
23203,2011-12-05,531
23843,2010-11-29,0
23843,2010-12-06,0
23843,2010-12-13,0
23843,2010-12-20,0
23843,2010-12-27,0
23843,2011-01-03,0
23843,2011-01-10,0
23843,2011-01-17,0
23843,2011-01-24,0
23843,2011-01-31,0
23843,2011-02-07,0
23843,2011-02-14,0
23843,2011-02-21,0
23843,2011-02-28,0
23843,2011-03-07,0
23843,2011-03-14,0
23843,2011-03-21,0
23843,2011-03-28,0
23843,2011-04-04,0
23843,2011-04-11,0
23843,2011-04-18,0
23843,2011-04-25,0
23843,2011-05-02,0
23843,2011-05-09,0
23843,2011-05-16,0
23843,2011-05-23,0
23843,2011-05-30,0
23843,2011-06-06,0
23843,2011-06-13,0
23843,2011-06-20,0
23843,2011-06-27,0
23843,2011-07-04,0
23843,2011-07-11,0
23843,2011-07-18,0
23843,2011-07-25,0
23843,2011-08-01,0
23843,2011-08-08,0
23843,2011-08-15,0
23843,2011-08-22,0
23843,2011-08-29,0
23843,2011-09-05,0
23843,2011-09-12,0
23843,2011-09-19,0
23843,2011-09-26,0
23843,2011-10-03,0
23843,2011-10-10,0
23843,2011-10-17,0
23843,2011-10-24,0
23843,2011-10-31,0
23843,2011-11-07,0
23843,2011-11-14,0
23843,2011-11-21,0
23843,2011-11-28,0
23843,2011-12-05,80995
47566,2010-11-29,19
47566,2010-12-06,165
47566,2010-12-13,29
47566,2010-12-20,24
47566,2010-12-27,0
47566,2011-01-03,145
47566,2011-01-10,85
47566,2011-01-17,69
47566,2011-01-24,171
47566,2011-01-31,232
47566,2011-02-07,292
47566,2011-02-14,189
47566,2011-02-21,157
47566,2011-02-28,255
47566,2011-03-07,205
47566,2011-03-14,606
47566,2011-03-21,325
47566,2011-03-28,376
47566,2011-04-04,460
47566,2011-04-11,542
47566,2011-04-18,648
47566,2011-04-25,276
47566,2011-05-02,984
47566,2011-05-09,760
47566,2011-05-16,754
47566,2011-05-23,839
47566,2011-05-30,434
47566,2011-06-06,663
47566,2011-06-13,507
47566,2011-06-20,598
47566,2011-06-27,276
47566,2011-07-04,901
47566,2011-07-11,354
47566,2011-07-18,935
47566,2011-07-25,520
47566,2011-08-01,431
47566,2011-08-08,330
47566,2011-08-15,402
47566,2011-08-22,471
47566,2011-08-29,207
47566,2011-09-05,300
47566,2011-09-12,334
47566,2011-09-19,158
47566,2011-09-26,209
47566,2011-10-03,183
47566,2011-10-10,106
47566,2011-10-17,211
47566,2011-10-24,78
47566,2011-10-31,102
47566,2011-11-07,135
47566,2011-11-14,218
47566,2011-11-21,455
47566,2011-11-28,105
47566,2011-12-05,69
84077,2010-11-29,3409
84077,2010-12-06,513
84077,2010-12-13,1173
84077,2010-12-20,100
84077,2010-12-27,0
84077,2011-01-03,625
84077,2011-01-10,289
84077,2011-01-17,0
84077,2011-01-24,530
84077,2011-01-31,2837
84077,2011-02-07,48
84077,2011-02-14,424
84077,2011-02-21,257
84077,2011-02-28,1680
84077,2011-03-07,1200
84077,2011-03-14,480
84077,2011-03-21,192
84077,2011-03-28,3216
84077,2011-04-04,392
84077,2011-04-11,2448
84077,2011-04-18,1927
84077,2011-04-25,2592
84077,2011-05-02,917
84077,2011-05-09,1248
84077,2011-05-16,1008
84077,2011-05-23,576
84077,2011-05-30,1445
84077,2011-06-06,480
84077,2011-06-13,145
84077,2011-06-20,961
84077,2011-06-27,291
84077,2011-07-04,1109
84077,2011-07-11,1104
84077,2011-07-18,726
84077,2011-07-25,823
84077,2011-08-01,98
84077,2011-08-08,577
84077,2011-08-15,528
84077,2011-08-22,1056
84077,2011-08-29,290
84077,2011-09-05,432
84077,2011-09-12,1296
84077,2011-09-19,587
84077,2011-09-26,1008
84077,2011-10-03,989
84077,2011-10-10,730
84077,2011-10-17,975
84077,2011-10-24,5328
84077,2011-10-31,974
84077,2011-11-07,1167
84077,2011-11-14,1170
84077,2011-11-21,915
84077,2011-11-28,689
84077,2011-12-05,1073
84879,2010-11-29,904
84879,2010-12-06,789
84879,2010-12-13,638
84879,2010-12-20,40
84879,2010-12-27,0
84879,2011-01-03,480
84879,2011-01-10,442
84879,2011-01-17,139
84879,2011-01-24,344
84879,2011-01-31,937
84879,2011-02-07,160
84879,2011-02-14,588
84879,2011-02-21,328
84879,2011-02-28,213
84879,2011-03-07,642
84879,2011-03-14,968
84879,2011-03-21,391
84879,2011-03-28,585
84879,2011-04-04,753
84879,2011-04-11,815
84879,2011-04-18,612
84879,2011-04-25,264
84879,2011-05-02,594
84879,2011-05-09,1201
84879,2011-05-16,595
84879,2011-05-23,565
84879,2011-05-30,384
84879,2011-06-06,292
84879,2011-06-13,446
84879,2011-06-20,270
84879,2011-06-27,292
84879,2011-07-04,460
84879,2011-07-11,372
84879,2011-07-18,519
84879,2011-07-25,478
84879,2011-08-01,3800
84879,2011-08-08,1323
84879,2011-08-15,556
84879,2011-08-22,850
84879,2011-08-29,216
84879,2011-09-05,488
84879,2011-09-12,908
84879,2011-09-19,701
84879,2011-09-26,799
84879,2011-10-03,589
84879,2011-10-10,420
84879,2011-10-17,829
84879,2011-10-24,778
84879,2011-10-31,968
84879,2011-11-07,1748
84879,2011-11-14,1326
84879,2011-11-21,1037
84879,2011-11-28,953
84879,2011-12-05,672
84946,2010-11-29,470
84946,2010-12-06,857
84946,2010-12-13,646
84946,2010-12-20,85
84946,2010-12-27,0
84946,2011-01-03,328
84946,2011-01-10,97
84946,2011-01-17,237
84946,2011-01-24,129
84946,2011-01-31,160
84946,2011-02-07,425
84946,2011-02-14,225
84946,2011-02-21,160
84946,2011-02-28,243
84946,2011-03-07,91
84946,2011-03-14,396
84946,2011-03-21,367
84946,2011-03-28,161
84946,2011-04-04,196
84946,2011-04-11,240
84946,2011-04-18,259
